type,value,timestamp
map_end,772,2025-01-26 23:28:54
shuffle_end,22,2025-01-26 23:28:57
reducer_start,914,2025-01-26 23:29:00
reducer_end,314,2025-01-26 23:29:04
load_std,1,2025-01-26 23:29:08
shuffle_end,65,2025-01-26 23:29:09
map_end,382,2025-01-26 23:29:12
load_std,41,2025-01-26 23:29:14
load_std,60,2025-01-26 23:29:16
shuffle_end,49,2025-01-26 23:29:19
map_start,810,2025-01-26 23:29:21
reducer_start,842,2025-01-26 23:29:23
map_start,316,2025-01-26 23:29:26
reducer_start,765,2025-01-26 23:29:29
reducer_end,285,2025-01-26 23:29:30
load_std,100,2025-01-26 23:29:31
map_start,713,2025-01-26 23:29:36
shuffle_start,80,2025-01-26 23:29:40
shuffle_start,61,2025-01-26 23:29:41
reducer_end,250,2025-01-26 23:29:45
shuffle_start,61,2025-01-26 23:29:47
shuffle_start,10,2025-01-26 23:29:50
map_start,709,2025-01-26 23:29:53
reducer_start,350,2025-01-26 23:29:56
map_end,420,2025-01-26 23:29:59
shuffle_start,93,2025-01-26 23:30:01
shuffle_end,88,2025-01-26 23:30:05
map_start,220,2025-01-26 23:30:10
reducer_start,528,2025-01-26 23:30:12
load_std,62,2025-01-26 23:30:14
reducer_end,152,2025-01-26 23:30:19
reducer_end,931,2025-01-26 23:30:22
reducer_start,410,2025-01-26 23:30:26
load_std,43,2025-01-26 23:30:29
reducer_start,581,2025-01-26 23:30:31
reducer_start,395,2025-01-26 23:30:32
shuffle_start,67,2025-01-26 23:30:35
map_end,363,2025-01-26 23:30:37
reducer_end,294,2025-01-26 23:30:41
reducer_end,304,2025-01-26 23:30:42
load_std,85,2025-01-26 23:30:43
load_std,5,2025-01-26 23:30:46
map_start,616,2025-01-26 23:30:49
load_std,34,2025-01-26 23:30:52
map_end,226,2025-01-26 23:30:54
shuffle_start,70,2025-01-26 23:30:55
reducer_end,555,2025-01-26 23:31:00
shuffle_start,78,2025-01-26 23:31:03
map_start,366,2025-01-26 23:31:04
map_end,739,2025-01-26 23:31:07
reducer_end,530,2025-01-26 23:31:10
load_std,40,2025-01-26 23:31:12
load_std,88,2025-01-26 23:31:15
map_end,411,2025-01-26 23:31:19
shuffle_end,41,2025-01-26 23:31:23
reducer_end,930,2025-01-26 23:31:28
shuffle_start,95,2025-01-26 23:31:30
reducer_end,513,2025-01-26 23:31:35
load_std,30,2025-01-26 23:31:38
reducer_start,128,2025-01-26 23:31:42
reducer_end,914,2025-01-26 23:31:45
reducer_start,713,2025-01-26 23:31:48
map_start,699,2025-01-26 23:31:49
shuffle_end,57,2025-01-26 23:31:54
map_start,812,2025-01-26 23:31:59
shuffle_start,4,2025-01-26 23:32:03
map_end,453,2025-01-26 23:32:04
shuffle_end,19,2025-01-26 23:32:09
load_std,46,2025-01-26 23:32:11
map_end,705,2025-01-26 23:32:14
reducer_start,452,2025-01-26 23:32:16
map_end,374,2025-01-26 23:32:21
reducer_start,245,2025-01-26 23:32:26
shuffle_end,89,2025-01-26 23:32:29
shuffle_end,50,2025-01-26 23:32:31
shuffle_start,80,2025-01-26 23:32:34
shuffle_end,75,2025-01-26 23:32:38
reducer_start,319,2025-01-26 23:32:41
load_std,14,2025-01-26 23:32:44
reducer_start,397,2025-01-26 23:32:46
map_start,944,2025-01-26 23:32:47
shuffle_end,49,2025-01-26 23:32:51
shuffle_end,82,2025-01-26 23:32:52
load_std,24,2025-01-26 23:32:56
reducer_start,924,2025-01-26 23:33:00
shuffle_start,64,2025-01-26 23:33:03
map_end,854,2025-01-26 23:33:04
shuffle_end,78,2025-01-26 23:33:05
map_end,249,2025-01-26 23:33:08
shuffle_end,72,2025-01-26 23:33:12
map_start,938,2025-01-26 23:33:16
shuffle_start,16,2025-01-26 23:33:19
shuffle_end,11,2025-01-26 23:33:20
reducer_end,79,2025-01-26 23:33:22
load_std,97,2025-01-26 23:33:23
reducer_start,479,2025-01-26 23:33:26
load_std,57,2025-01-26 23:33:28
load_std,47,2025-01-26 23:33:31
map_start,6,2025-01-26 23:33:33
shuffle_start,69,2025-01-26 23:33:37
load_std,13,2025-01-26 23:33:38
reducer_end,241,2025-01-26 23:33:41
shuffle_start,39,2025-01-26 23:33:46
load_std,40,2025-01-26 23:33:49
reducer_end,171,2025-01-26 23:33:51
load_std,12,2025-01-26 23:33:54
map_start,766,2025-01-26 23:33:56
reducer_start,188,2025-01-26 23:34:01
reducer_end,159,2025-01-26 23:34:06
reducer_end,155,2025-01-26 23:34:08
load_std,51,2025-01-26 23:34:13
shuffle_start,50,2025-01-26 23:34:15
shuffle_start,77,2025-01-26 23:34:16
load_std,33,2025-01-26 23:34:20
reducer_start,773,2025-01-26 23:34:22
load_std,68,2025-01-26 23:34:23
load_std,32,2025-01-26 23:34:25
map_end,943,2025-01-26 23:34:29
load_std,19,2025-01-26 23:34:34
map_start,856,2025-01-26 23:34:36
shuffle_start,100,2025-01-26 23:34:39
load_std,32,2025-01-26 23:34:44
map_end,475,2025-01-26 23:34:49
reducer_start,490,2025-01-26 23:34:54
map_start,519,2025-01-26 23:34:57
reducer_start,361,2025-01-26 23:34:58
load_std,78,2025-01-26 23:35:00
shuffle_end,78,2025-01-26 23:35:02
map_end,207,2025-01-26 23:35:03
shuffle_start,57,2025-01-26 23:35:04
reducer_start,261,2025-01-26 23:35:05
map_end,218,2025-01-26 23:35:09
reducer_end,847,2025-01-26 23:35:14
load_std,7,2025-01-26 23:35:16
reducer_end,75,2025-01-26 23:35:19
load_std,58,2025-01-26 23:35:22
reducer_end,851,2025-01-26 23:35:26
reducer_start,444,2025-01-26 23:35:30
load_std,1,2025-01-26 23:35:34
reducer_start,328,2025-01-26 23:35:38
map_start,174,2025-01-26 23:35:42
map_end,653,2025-01-26 23:35:47
reducer_start,449,2025-01-26 23:35:51
load_std,98,2025-01-26 23:35:54
map_end,83,2025-01-26 23:35:58
map_end,257,2025-01-26 23:36:02
reducer_start,557,2025-01-26 23:36:03
shuffle_end,89,2025-01-26 23:36:06
shuffle_start,65,2025-01-26 23:36:07
map_end,803,2025-01-26 23:36:10
load_std,29,2025-01-26 23:36:11
shuffle_start,7,2025-01-26 23:36:13
map_start,973,2025-01-26 23:36:16
reducer_start,461,2025-01-26 23:36:17
reducer_start,639,2025-01-26 23:36:19
map_end,618,2025-01-26 23:36:24
shuffle_start,42,2025-01-26 23:36:27
reducer_end,770,2025-01-26 23:36:32
shuffle_end,80,2025-01-26 23:36:34
load_std,97,2025-01-26 23:36:39
load_std,35,2025-01-26 23:36:44
reducer_end,230,2025-01-26 23:36:49
map_end,751,2025-01-26 23:36:52
shuffle_end,40,2025-01-26 23:36:57
load_std,75,2025-01-26 23:37:02
shuffle_start,95,2025-01-26 23:37:03
shuffle_end,86,2025-01-26 23:37:08
shuffle_start,21,2025-01-26 23:37:12
map_end,505,2025-01-26 23:37:16
shuffle_end,40,2025-01-26 23:37:21
reducer_end,605,2025-01-26 23:37:26
reducer_start,420,2025-01-26 23:37:31
shuffle_end,69,2025-01-26 23:37:36
shuffle_end,64,2025-01-26 23:37:37
reducer_end,238,2025-01-26 23:37:42
reducer_start,957,2025-01-26 23:37:43
shuffle_end,33,2025-01-26 23:37:44
reducer_start,384,2025-01-26 23:37:46
map_end,795,2025-01-26 23:37:49
shuffle_end,10,2025-01-26 23:37:53
load_std,16,2025-01-26 23:37:54
shuffle_start,69,2025-01-26 23:37:55
shuffle_end,29,2025-01-26 23:37:59
shuffle_start,11,2025-01-26 23:38:03
load_std,98,2025-01-26 23:38:07
map_start,972,2025-01-26 23:38:11
load_std,80,2025-01-26 23:38:12
reducer_start,955,2025-01-26 23:38:16
reducer_end,464,2025-01-26 23:38:18
shuffle_start,70,2025-01-26 23:38:21
shuffle_end,52,2025-01-26 23:38:23
map_end,9,2025-01-26 23:38:27
shuffle_start,33,2025-01-26 23:38:29
map_end,201,2025-01-26 23:38:30
load_std,57,2025-01-26 23:38:34
map_end,625,2025-01-26 23:38:36
reducer_end,185,2025-01-26 23:38:40
shuffle_start,17,2025-01-26 23:38:44
shuffle_start,27,2025-01-26 23:38:45
map_end,202,2025-01-26 23:38:50
map_end,559,2025-01-26 23:38:55
reducer_start,513,2025-01-26 23:38:59
reducer_start,839,2025-01-26 23:39:01
load_std,9,2025-01-26 23:39:04
map_start,213,2025-01-26 23:39:06
reducer_start,838,2025-01-26 23:39:07
load_std,43,2025-01-26 23:39:09
map_start,509,2025-01-26 23:39:14
reducer_start,778,2025-01-26 23:39:15
shuffle_end,89,2025-01-26 23:39:17
shuffle_start,55,2025-01-26 23:39:20
shuffle_end,58,2025-01-26 23:39:21
load_std,54,2025-01-26 23:39:25
map_start,739,2025-01-26 23:39:26
shuffle_end,62,2025-01-26 23:39:29
shuffle_end,54,2025-01-26 23:39:33
load_std,4,2025-01-26 23:39:36
shuffle_start,60,2025-01-26 23:39:38
map_end,886,2025-01-26 23:39:43
map_end,862,2025-01-26 23:39:44
reducer_start,776,2025-01-26 23:39:49
reducer_end,305,2025-01-26 23:39:51
map_start,862,2025-01-26 23:39:55
shuffle_start,95,2025-01-26 23:40:00
map_end,247,2025-01-26 23:40:01
reducer_end,152,2025-01-26 23:40:03
map_start,453,2025-01-26 23:40:08
load_std,37,2025-01-26 23:40:09
shuffle_end,61,2025-01-26 23:40:13
reducer_end,930,2025-01-26 23:40:18
map_end,917,2025-01-26 23:40:21
reducer_start,949,2025-01-26 23:40:22
shuffle_end,86,2025-01-26 23:40:26
load_std,37,2025-01-26 23:40:27
reducer_start,299,2025-01-26 23:40:28
shuffle_end,64,2025-01-26 23:40:31
map_start,688,2025-01-26 23:40:36
reducer_end,247,2025-01-26 23:40:39
shuffle_end,51,2025-01-26 23:40:44
shuffle_start,84,2025-01-26 23:40:49
shuffle_start,42,2025-01-26 23:40:54
load_std,19,2025-01-26 23:40:56
load_std,83,2025-01-26 23:40:59
load_std,63,2025-01-26 23:41:01
shuffle_start,65,2025-01-26 23:41:02
reducer_end,650,2025-01-26 23:41:04
shuffle_start,62,2025-01-26 23:41:05
map_start,518,2025-01-26 23:41:09
map_end,803,2025-01-26 23:41:12
map_start,749,2025-01-26 23:41:14
shuffle_end,100,2025-01-26 23:41:19
shuffle_end,79,2025-01-26 23:41:22
shuffle_start,10,2025-01-26 23:41:25
shuffle_end,26,2025-01-26 23:41:29
map_start,700,2025-01-26 23:41:33
shuffle_end,75,2025-01-26 23:41:34
load_std,60,2025-01-26 23:41:36
shuffle_end,94,2025-01-26 23:41:38
shuffle_end,49,2025-01-26 23:41:39
reducer_start,44,2025-01-26 23:41:43
reducer_start,913,2025-01-26 23:41:45
map_end,863,2025-01-26 23:41:49
shuffle_start,37,2025-01-26 23:41:52
map_start,508,2025-01-26 23:41:53
shuffle_end,54,2025-01-26 23:41:58
reducer_end,319,2025-01-26 23:41:59
shuffle_end,12,2025-01-26 23:42:04
shuffle_start,18,2025-01-26 23:42:05
map_start,595,2025-01-26 23:42:07
load_std,90,2025-01-26 23:42:10
load_std,66,2025-01-26 23:42:14
shuffle_end,83,2025-01-26 23:42:15
shuffle_end,40,2025-01-26 23:42:19
shuffle_start,40,2025-01-26 23:42:20
shuffle_end,60,2025-01-26 23:42:21
shuffle_end,29,2025-01-26 23:42:25
shuffle_start,65,2025-01-26 23:42:30
reducer_start,943,2025-01-26 23:42:32
map_start,389,2025-01-26 23:42:33
map_start,536,2025-01-26 23:42:35
reducer_start,183,2025-01-26 23:42:38
shuffle_start,67,2025-01-26 23:42:41
reducer_start,715,2025-01-26 23:42:43
map_end,23,2025-01-26 23:42:46
load_std,11,2025-01-26 23:42:49
map_start,199,2025-01-26 23:42:53
map_end,747,2025-01-26 23:42:57
reducer_start,442,2025-01-26 23:43:00
reducer_end,711,2025-01-26 23:43:02
map_end,277,2025-01-26 23:43:06
shuffle_end,6,2025-01-26 23:43:07
shuffle_start,75,2025-01-26 23:43:10
load_std,28,2025-01-26 23:43:12
map_start,898,2025-01-26 23:43:17
reducer_end,604,2025-01-26 23:43:21
map_end,145,2025-01-26 23:43:25
shuffle_start,34,2025-01-26 23:43:26
load_std,33,2025-01-26 23:43:31
map_start,365,2025-01-26 23:43:36
map_start,993,2025-01-26 23:43:37
shuffle_start,15,2025-01-26 23:43:39
map_end,290,2025-01-26 23:43:44
shuffle_end,40,2025-01-26 23:43:48
reducer_start,418,2025-01-26 23:43:49
shuffle_end,10,2025-01-26 23:43:54
reducer_start,741,2025-01-26 23:43:57
map_end,919,2025-01-26 23:44:00
reducer_end,667,2025-01-26 23:44:02
load_std,45,2025-01-26 23:44:03
shuffle_end,69,2025-01-26 23:44:05
load_std,78,2025-01-26 23:44:10
reducer_end,53,2025-01-26 23:44:11
reducer_end,739,2025-01-26 23:44:14
shuffle_end,74,2025-01-26 23:44:15
map_start,984,2025-01-26 23:44:19
reducer_end,487,2025-01-26 23:44:23
load_std,84,2025-01-26 23:44:25
map_end,836,2025-01-26 23:44:30
map_end,783,2025-01-26 23:44:35
load_std,94,2025-01-26 23:44:39
load_std,92,2025-01-26 23:44:42
map_start,25,2025-01-26 23:44:45
load_std,46,2025-01-26 23:44:48
reducer_end,300,2025-01-26 23:44:50
shuffle_start,27,2025-01-26 23:44:52
map_end,943,2025-01-26 23:44:54
reducer_end,929,2025-01-26 23:44:59
map_start,671,2025-01-26 23:45:04
map_start,31,2025-01-26 23:45:07
reducer_end,401,2025-01-26 23:45:09
map_start,430,2025-01-26 23:45:11
shuffle_start,23,2025-01-26 23:45:16
load_std,97,2025-01-26 23:45:21
shuffle_start,82,2025-01-26 23:45:26
map_end,180,2025-01-26 23:45:30
map_end,644,2025-01-26 23:45:35
reducer_start,959,2025-01-26 23:45:36
reducer_start,272,2025-01-26 23:45:39
shuffle_start,89,2025-01-26 23:45:43
map_end,296,2025-01-26 23:45:45
map_end,480,2025-01-26 23:45:49
shuffle_end,37,2025-01-26 23:45:54
map_start,256,2025-01-26 23:45:55
load_std,26,2025-01-26 23:45:57
map_end,293,2025-01-26 23:46:01
shuffle_start,51,2025-01-26 23:46:06
shuffle_end,60,2025-01-26 23:46:11
map_start,109,2025-01-26 23:46:13
shuffle_start,93,2025-01-26 23:46:18
reducer_end,30,2025-01-26 23:46:19
map_end,555,2025-01-26 23:46:23
shuffle_start,30,2025-01-26 23:46:28
shuffle_end,98,2025-01-26 23:46:33
map_end,451,2025-01-26 23:46:34
reducer_start,523,2025-01-26 23:46:35
reducer_start,1,2025-01-26 23:46:40
shuffle_end,38,2025-01-26 23:46:43
map_end,156,2025-01-26 23:46:44
reducer_end,535,2025-01-26 23:46:46
shuffle_start,7,2025-01-26 23:46:47
load_std,56,2025-01-26 23:46:49
load_std,95,2025-01-26 23:46:52
map_end,327,2025-01-26 23:46:55
reducer_start,124,2025-01-26 23:46:58
map_start,975,2025-01-26 23:47:02
map_end,489,2025-01-26 23:47:03
load_std,46,2025-01-26 23:47:04
shuffle_start,83,2025-01-26 23:47:05
reducer_end,220,2025-01-26 23:47:08
reducer_end,24,2025-01-26 23:47:09
reducer_start,375,2025-01-26 23:47:14
map_end,800,2025-01-26 23:47:16
reducer_start,326,2025-01-26 23:47:19
load_std,29,2025-01-26 23:47:24
reducer_end,669,2025-01-26 23:47:29
map_start,404,2025-01-26 23:47:32
reducer_start,375,2025-01-26 23:47:35
map_start,676,2025-01-26 23:47:37
reducer_start,502,2025-01-26 23:47:39
load_std,13,2025-01-26 23:47:42
reducer_start,326,2025-01-26 23:47:45
map_end,832,2025-01-26 23:47:49
shuffle_start,10,2025-01-26 23:47:54
reducer_end,469,2025-01-26 23:47:57
map_end,980,2025-01-26 23:48:02
reducer_end,279,2025-01-26 23:48:03
load_std,52,2025-01-26 23:48:07
reducer_start,760,2025-01-26 23:48:12
shuffle_start,38,2025-01-26 23:48:17
reducer_end,761,2025-01-26 23:48:18
shuffle_end,15,2025-01-26 23:48:19
reducer_start,500,2025-01-26 23:48:21
load_std,61,2025-01-26 23:48:22
shuffle_end,51,2025-01-26 23:48:25
shuffle_start,34,2025-01-26 23:48:30
reducer_start,196,2025-01-26 23:48:33
shuffle_end,55,2025-01-26 23:48:37
shuffle_start,24,2025-01-26 23:48:42
reducer_start,875,2025-01-26 23:48:45
map_end,713,2025-01-26 23:48:47
shuffle_start,49,2025-01-26 23:48:51
reducer_end,72,2025-01-26 23:48:53
shuffle_end,27,2025-01-26 23:48:55
reducer_start,109,2025-01-26 23:48:58
map_start,353,2025-01-26 23:49:00
reducer_start,79,2025-01-26 23:49:01
shuffle_start,42,2025-01-26 23:49:06
load_std,56,2025-01-26 23:49:08
map_start,152,2025-01-26 23:49:09
reducer_end,803,2025-01-26 23:49:14
reducer_start,656,2025-01-26 23:49:15
shuffle_end,36,2025-01-26 23:49:19
shuffle_start,7,2025-01-26 23:49:21
shuffle_end,53,2025-01-26 23:49:23
reducer_end,305,2025-01-26 23:49:25
shuffle_start,41,2025-01-26 23:49:26
map_end,561,2025-01-26 23:49:31
reducer_end,866,2025-01-26 23:49:35
map_end,208,2025-01-26 23:49:37
map_start,663,2025-01-26 23:49:40
shuffle_end,27,2025-01-26 23:49:45
map_end,230,2025-01-26 23:49:47
load_std,8,2025-01-26 23:49:49
map_start,651,2025-01-26 23:49:51
map_end,411,2025-01-26 23:49:56
reducer_start,176,2025-01-26 23:50:00
reducer_start,447,2025-01-26 23:50:05
reducer_end,325,2025-01-26 23:50:09
map_start,187,2025-01-26 23:50:11
reducer_end,713,2025-01-26 23:50:13
map_end,984,2025-01-26 23:50:18
load_std,59,2025-01-26 23:50:21
reducer_end,112,2025-01-26 23:50:23
map_end,196,2025-01-26 23:50:27
map_start,981,2025-01-26 23:50:31
load_std,11,2025-01-26 23:50:33
reducer_end,532,2025-01-26 23:50:38
map_end,430,2025-01-26 23:50:39
load_std,93,2025-01-26 23:50:42
shuffle_start,5,2025-01-26 23:50:45
shuffle_end,82,2025-01-26 23:50:50
reducer_start,756,2025-01-26 23:50:52
map_end,65,2025-01-26 23:50:57
shuffle_end,2,2025-01-26 23:51:00
shuffle_end,70,2025-01-26 23:51:02
shuffle_start,15,2025-01-26 23:51:07
shuffle_start,91,2025-01-26 23:51:09
load_std,24,2025-01-26 23:51:10
reducer_end,411,2025-01-26 23:51:15
map_start,935,2025-01-26 23:51:17
shuffle_end,20,2025-01-26 23:51:19
map_end,72,2025-01-26 23:51:23
reducer_end,466,2025-01-26 23:51:27
reducer_start,762,2025-01-26 23:51:31
reducer_start,908,2025-01-26 23:51:33
shuffle_start,31,2025-01-26 23:51:35
shuffle_end,91,2025-01-26 23:51:37
map_start,798,2025-01-26 23:51:40
reducer_end,235,2025-01-26 23:51:45
reducer_start,44,2025-01-26 23:51:48
map_end,440,2025-01-26 23:51:51
reducer_end,325,2025-01-26 23:51:55
reducer_start,246,2025-01-26 23:51:56
shuffle_start,43,2025-01-26 23:52:01
reducer_start,191,2025-01-26 23:52:06
reducer_end,227,2025-01-26 23:52:08
reducer_end,606,2025-01-26 23:52:10
map_end,691,2025-01-26 23:52:14
map_start,883,2025-01-26 23:52:16
reducer_end,188,2025-01-26 23:52:20
map_end,338,2025-01-26 23:52:25
reducer_end,478,2025-01-26 23:52:30
shuffle_end,100,2025-01-26 23:52:31
reducer_start,66,2025-01-26 23:52:36
reducer_end,732,2025-01-26 23:52:39
shuffle_start,45,2025-01-26 23:52:41
reducer_end,996,2025-01-26 23:52:43
map_start,429,2025-01-26 23:52:44
shuffle_start,78,2025-01-26 23:52:47
map_end,38,2025-01-26 23:52:50
shuffle_start,13,2025-01-26 23:52:52
map_end,858,2025-01-26 23:52:57
shuffle_end,37,2025-01-26 23:53:00
reducer_end,310,2025-01-26 23:53:03
map_start,592,2025-01-26 23:53:07
reducer_end,617,2025-01-26 23:53:10
shuffle_start,49,2025-01-26 23:53:13
map_end,580,2025-01-26 23:53:16
map_start,9,2025-01-26 23:53:19
map_end,710,2025-01-26 23:53:20
shuffle_end,5,2025-01-26 23:53:25
map_start,20,2025-01-26 23:53:29
shuffle_start,47,2025-01-26 23:53:32
shuffle_end,95,2025-01-26 23:53:35
shuffle_start,86,2025-01-26 23:53:36
shuffle_start,22,2025-01-26 23:53:40
map_end,837,2025-01-26 23:53:45
map_end,982,2025-01-26 23:53:50
map_start,32,2025-01-26 23:53:52
